b,AvgB,Th,AvgL,AvgTime
5,2,2,15.0,3.35111058823
5,2,2,16.0,3.36110611111
5,2,2,17.0,3.36858052632
5,2,2,18.0,3.3746995
5,2,2,19.0,3.37967238095
5,2,2,20.0,3.3853
5,2,2,21.0,3.39220869565
5,2,2,22.0,3.3965125
5,2,2,23.0,3.4029204
5,2,2,24.0,3.40216
5,2,2,25.0,3.40701666667
5,2,2,26.0,3.41133357143
5,2,2,27.0,3.37952172414
5,2,2,28.0,3.34961333333
5,2,2,29.0,3.32103483871
5,2,2,30.0,3.295863125
5,2,2,31.0,3.27364212121
5,2,2,32.0,3.25043029412
5,2,2,33.0,3.22806885714
5,2,2,34.0,3.20759055556
5,2,2,35.0,3.18881972973
5,2,2,36.0,3.17155236842
5,2,2,37.0,3.15307564103
5,2,2,38.0,3.13627875
5,2,2,39.0,3.12316707317
5,2,2,40.0,3.10728285714
5,2,2,41.0,3.09295860465
5,2,2,42.0,3.07995636364
5,2,2,43.0,3.13192955556
5,2,2,44.0,3.18725847826
5,2,2,45.0,3.23360914894
5,2,2,46.0,3.27894875
5,2,2,47.0,3.32544020408
5,2,2,48.0,3.3679152
5,2,2,49.0,3.41036196078
5,2,2,50.0,3.45282153846
5,2,2,51.0,3.48890056604
5,2,2,52.0,3.52622148148
5,2,2,53.0,3.55903236364
5,2,2,54.0,3.59707160714
5,2,2,55.0,3.63145684211
5,2,2,56.0,3.6658487931
5,2,2,57.0,3.69645067797
5,2,2,58.0,3.724155
5,2,2,59.0,3.75095
5,2,2,60.0,3.78235758065
5,2,2,61.0,3.8087368254
5,2,2,62.0,3.83466109375
5,2,2,63.0,3.84573538462
5,2,2,64.0,3.84088560606
5,2,2,65.0,3.83714537313
5,2,2,66.0,3.82924058824
5,2,2,67.0,3.82461869565
5,2,2,68.0,3.82173642857
5,2,2,69.0,3.81621112676
5,2,2,70.0,3.81115722222
5,2,2,71.0,3.80892616438
5,2,2,72.0,3.8036422973
5,2,2,73.0,3.8011892
5,2,2,74.0,3.79567934211
5,2,2,75.0,3.79227168831
5,2,2,76.0,3.78707435897
5,2,2,77.0,3.78469873418
5,2,2,78.0,3.779525375
5,2,2,79.0,3.77604098765
5,2,2,80.0,3.77458207317
5,2,2,81.0,3.77089566265
5,2,2,82.0,3.76760904762
5,2,2,83.0,3.76411858824
5,2,2,84.0,3.7593455814
5,2,2,85.0,3.7561662069
5,2,2,86.0,3.75608931818
5,2,2,87.0,3.75319988764
5,2,2,88.0,3.75059722222
5,2,2,89.0,3.74650494505
5,2,2,90.0,3.74386391304
5,2,2,91.0,3.74216344086
5,2,2,92.0,3.73752095745
5,2,2,93.0,3.73610515789
5,2,2,94.0,3.7329246875
5,2,2,95.0,3.73148525773
5,2,2,96.0,3.72921622449
5,2,2,97.0,3.72776484848
5,2,2,98.0,3.7241653
5,2,2,99.0,3.72289019802
5,5,2,3.0,1.62478875
5,5,2,4.0,1.72241444445
5,5,2,5.0,1.800586
5,5,2,6.0,1.86278181818
5,5,2,7.0,1.9167025
5,5,2,8.0,1.96119769231
5,5,2,9.0,2.07253857143
5,5,2,10.0,2.30142266667
5,5,2,11.0,2.500521875
5,5,2,12.0,2.67568294118
5,5,2,13.0,2.77814166667
5,5,2,14.0,2.81591578947
5,5,2,15.0,2.8500665
5,5,2,16.0,2.88011095238
5,5,2,17.0,2.90974318182
5,5,2,18.0,2.93587913043
5,5,2,19.0,2.95872875
5,5,2,20.0,2.9817892
5,5,2,21.0,2.99962307692
5,5,2,22.0,3.01860703704
5,5,2,23.0,3.03795107143
5,5,2,24.0,3.0517
5,5,2,25.0,3.065779
5,5,2,26.0,3.07953451613
5,5,2,27.0,3.0623178125
5,5,2,28.0,3.04585636364
5,5,2,29.0,3.02987411765
5,5,2,30.0,3.01449
5,5,2,31.0,2.99913944444
5,5,2,32.0,2.98590945946
5,5,2,33.0,2.97379315789
5,5,2,34.0,2.96113692308
5,5,2,35.0,2.94907125
5,5,2,36.0,2.94063365854
5,5,2,37.0,2.92874119048
5,5,2,38.0,2.91873860465
5,5,2,39.0,2.90937568182
5,5,2,40.0,2.89958222222
5,5,2,41.0,2.89219586957
5,5,2,42.0,2.88303829787
5,5,2,43.0,2.93443083333
5,5,2,44.0,2.98946081633
5,5,2,45.0,3.0384326
5,5,2,46.0,3.08788529412
5,5,2,47.0,3.13408230769
5,5,2,48.0,3.17920169811
5,5,2,49.0,3.22148925926
5,5,2,50.0,3.26075927273
5,5,2,51.0,3.30256464286
5,5,2,52.0,3.34051070175
5,5,2,53.0,3.38121051724
5,5,2,54.0,3.41597576271
5,5,2,55.0,3.45031333333
5,5,2,56.0,3.47960819672
5,5,2,57.0,3.51490064516
5,5,2,58.0,3.5468615873
5,5,2,59.0,3.57666703125
5,5,2,60.0,3.60707692308
5,5,2,61.0,3.63683666667
5,5,2,62.0,3.66569776119
5,5,2,63.0,3.67569882353
5,5,2,64.0,3.67235014493
5,5,2,65.0,3.671696
5,5,2,66.0,3.66885619718
5,5,2,67.0,3.66498666667
5,5,2,68.0,3.66422808219
5,5,2,69.0,3.66232621622
5,5,2,70.0,3.66029866667
5,5,2,71.0,3.65825052632
5,5,2,72.0,3.6567038961
5,5,2,73.0,3.65243653846
5,5,2,74.0,3.65142544304
5,5,2,75.0,3.648501625
5,5,2,76.0,3.64632444444
5,5,2,77.0,3.64673536585
5,5,2,78.0,3.64450650602
5,5,2,79.0,3.64246904762
5,5,2,80.0,3.64036764706
